Locus	AP_F_mean	AP_NF_mean	log2FC	FDR
ENSMUSG00000033740	179.569788437978	382.942590376549	-1.09258347824669	0
ENSMUSG00000025915	9.33178338741801	104.479373271602	-3.48492151829413	0
ENSMUSG00000026141	42.4048311833524	3.71295335764726	3.51358954323654	0
ENSMUSG00000026123	505.738445075915	80.0481183280255	2.65945205783441	0
ENSMUSG00000045216	146.121763522997	51.2630685164366	1.51117932710569	0
ENSMUSG00000095944	15.3358837162213	1.61066468845085	3.25118321583787	0
ENSMUSG00000058407	180.744047981001	75.4003469123016	1.26130507270115	0
ENSMUSG00000037138	91.3867764212287	15.6648663146953	2.5444529661196	0
ENSMUSG00000100832	17.6714541988512	1.61166701464853	3.45479515977271	0
ENSMUSG00000045515	710.253634145678	210.748568032713	1.75281147969115	0
ENSMUSG00000041763	11.4506174550113	256.351838121249	-4.48462794193668	0
ENSMUSG00000026043	24.393654028005	1.80333504550965	3.7577665134669	0
ENSMUSG00000041439	270.265555862332	119.014403089152	1.1832414799088	0
ENSMUSG00000026097	92.8341996810332	8.21645684075246	3.49806808146583	0
ENSMUSG00000052331	29.4934649068234	238.232771851017	-3.01390466132494	0
ENSMUSG00000026028	1080.79716684731	292.844916974072	1.88388703962119	0
ENSMUSG00000025967	325.12161813316	74.218259298194	2.13113341771363	0
ENSMUSG00000099804	19.078911063099	1.61175524513023	3.56527424769962	0
ENSMUSG00000006304	18.0211214332024	133.115022220152	-2.88491269435657	0
ENSMUSG00000026174	116.939661609057	21.0770344086312	2.47202052610383	0
ENSMUSG00000049339	206.560817669256	75.9910467211391	1.44266526157418	0
ENSMUSG00000033124	213.84717370279	70.5614851170504	1.59962730913159	0
ENSMUSG00000026213	104.830687277397	27.9451573690715	1.90739089697688	0
ENSMUSG00000073633	116.466959569431	10.6118896995847	3.45616724533334	0
ENSMUSG00000062590	64.3514647807047	7.28385012409973	3.14319984556196	0
ENSMUSG00000087968	302.468947821213	61.0372481096962	2.309025215267	0
ENSMUSG00000073616	136.629975203572	32.1744017651598	2.08628880167167	0
